,rank,code,name,sw_first_code,sw_first,sw_second_code,sw_second,date
0,0,300750.SZ,寧德時代,801730.SI,电气设备,801733.SI,电源设备,20210910
5,0,600570.SH,恆生電子,801750.SI,计算机,801222.SI,计算机应用,20210910
19,4,300896.SZ,愛美客,801150.SI,医药生物,801153.SI,医疗器械,20210910
20,0,601919.SH,中遠海控,801170.SI,交通运输,801176.SI,航运,20210910
18,3,300142.SZ,沃森生物,801150.SI,医药生物,801152.SI,生物制品,20210910
22,2,600704.SH,物產中大,801170.SI,交通运输,801178.SI,物流,20210910
17,2,000661.SZ,長春高新,801150.SI,医药生物,801152.SI,生物制品,20210910
24,4,002245.SZ,蔚藍鋰芯,801170.SI,交通运输,801178.SI,物流,20210910
21,1,002352.SZ,順豐控股,801170.SI,交通运输,801178.SI,物流,20210910
12,2,603799.SH,華友鈷業,801050.SI,有色金属,801054.SI,稀有金属,20210910
