,rank,code,name,sw_first_code,sw_first,sw_second_code,sw_second
0,0,600031.SH,三一重工,801890.SI,机械设备,801074.SI,专用设备
5,0,002050.SZ,三花智控,801110.SI,家用电器,801111.SI,白色家电
19,4,002610.SZ,愛康科技,801160.SI,公用事业,801161.SI,电力
20,0,603259.SH,藥明康得,801150.SI,医药生物,801156.SI,医疗服务
18,3,600452.SH,涪陵電力,801160.SI,公用事业,801161.SI,电力
22,2,300015.SZ,愛爾眼科,801150.SI,医药生物,801156.SI,医疗服务
17,2,600025.SH,華能水電,801160.SI,公用事业,801161.SI,电力
24,4,300142.SZ,沃森生物,801150.SI,医药生物,801152.SI,生物制品
21,1,300760.SZ,邁瑞醫療,801150.SI,医药生物,801153.SI,医疗器械
12,2,000898.SZ,鞍鋼股份,801040.SI,钢铁,801041.SI,钢铁
